epoch,train_loss,valid_loss,accuracy,error_rate,time
0,2.910974,2.186847,0.200000,0.800000,02:36
1,2.752238,2.169438,0.080000,0.920000,02:35
2,2.883071,2.082014,0.160000,0.840000,02:34
3,2.648034,2.188269,0.160000,0.840000,02:36
4,2.377020,2.152829,0.240000,0.760000,02:44
5,2.202974,2.064152,0.360000,0.640000,02:43
6,2.025126,1.983110,0.520000,0.480000,02:45
7,1.863708,2.065892,0.440000,0.560000,02:44
8,1.698382,1.831932,0.440000,0.560000,02:47
9,1.595408,2.040977,0.440000,0.560000,02:47
10,1.464794,2.245728,0.440000,0.560000,02:47
11,1.341309,2.165336,0.360000,0.640000,02:47
12,1.280714,2.295811,0.480000,0.520000,02:47
13,1.166147,2.322808,0.480000,0.520000,02:48
14,1.101812,2.157707,0.520000,0.480000,02:55
15,1.037024,2.548307,0.520000,0.480000,02:53
16,0.980275,2.503291,0.520000,0.480000,02:50
17,0.911371,2.293564,0.480000,0.520000,02:50
18,0.839705,2.449930,0.560000,0.440000,02:51
19,0.790394,2.223975,0.520000,0.480000,02:51
20,0.757979,2.376548,0.480000,0.520000,02:52
21,0.755328,2.283605,0.520000,0.480000,02:51
22,0.750830,2.067814,0.480000,0.520000,02:55
23,0.734950,2.256337,0.560000,0.440000,02:53
24,0.735379,2.202152,0.600000,0.400000,02:53
epoch,train_loss,valid_loss,accuracy,error_rate,time
0,0.655821,2.468321,0.520000,0.480000,02:46
1,0.509804,2.721452,0.480000,0.520000,02:36
2,0.555878,2.626208,0.520000,0.480000,02:35
3,0.630336,2.129947,0.560000,0.440000,02:37
4,0.615395,2.286645,0.480000,0.520000,02:35
5,0.568819,2.320496,0.560000,0.440000,02:35
6,0.547084,2.652356,0.480000,0.520000,02:38
7,0.517645,2.475736,0.480000,0.520000,02:35
8,0.557899,3.050897,0.400000,0.600000,02:35
9,0.511400,2.917590,0.400000,0.600000,02:37
10,0.457965,2.606433,0.400000,0.600000,02:35
11,0.427136,2.481197,0.480000,0.520000,02:35
12,0.393922,2.481235,0.480000,0.520000,02:41
13,0.374341,3.014008,0.440000,0.560000,02:47
14,0.421657,2.388685,0.400000,0.600000,02:46
15,0.389679,2.485949,0.400000,0.600000,02:49
16,0.386857,2.501744,0.480000,0.520000,02:49
17,0.347269,2.572448,0.520000,0.480000,02:50
18,0.316163,2.672336,0.440000,0.560000,02:51
19,0.331005,2.583365,0.440000,0.560000,02:52
20,0.355862,2.499655,0.440000,0.560000,02:54
21,0.333727,2.625680,0.360000,0.640000,02:50
22,0.321087,2.895254,0.360000,0.640000,02:50
23,0.336176,2.546150,0.480000,0.520000,02:50
24,0.353512,2.574038,0.400000,0.600000,02:51
